time,event_type,customer_id,server_id
3,arr,1,-1
6,arr,2,-1
7,dep,1,0
8,dep,2,1
15,arr,3,-1
16,arr,4,-1
16,dep,3,0
17,arr,5,-1
17,dep,4,0
18,dep,5,0
28,arr,6,-1
29,dep,6,0
39,arr,7,-1
40,dep,7,0
42,arr,8,-1
43,dep,8,0
61,arr,9,-1
62,arr,10,-1
63,dep,9,0
63,dep,10,1
65,arr,11,-1
67,arr,12,-1
68,arr,13,-1
69,arr,14,-1
70,arr,15,-1
70,dep,11,0
71,dep,13,0
72,arr,16,-1
74,dep,14,0
75,dep,15,0
76,dep,16,0
77,dep,12,1
80,arr,17,-1
83,dep,17,0
85,arr,18,-1
86,arr,19,-1
88,dep,18,0
92,dep,19,1
94,arr,20,-1
95,dep,20,0
98,arr,21,-1
99,dep,21,0
109,arr,22,-1
113,dep,22,0
115,arr,23,-1
116,arr,24,-1
120,dep,23,0
120,dep,24,1
123,arr,25,-1
124,dep,25,0
126,arr,26,-1
127,dep,26,0
130,arr,27,-1
131,dep,27,0
132,arr,28,-1
134,dep,28,0
143,arr,29,-1
144,arr,30,-1
146,dep,29,0
148,dep,30,1
151,arr,31,-1
152,dep,31,0
155,arr,32,-1
157,dep,32,0
173,arr,33,-1
174,arr,34,-1
174,dep,33,0
175,arr,35,-1
175,dep,34,0
176,dep,35,0
178,arr,36,-1
179,arr,37,-1
181,arr,38,-1
184,arr,39,-1
184,dep,36,0
185,arr,40,-1
185,dep,38,0
188,dep,39,0
189,arr,41,-1
189,dep,37,1
190,arr,42,-1
190,dep,41,1
192,dep,40,0
193,dep,42,1
199,arr,43,-1
200,dep,43,0
